ICM_ID,boundary,landchange_allowed
1388,2D compartment,1
1389,2D compartment,1
1390,2D compartment,1
1391,2D compartment,1
1392,2D compartment,1
1393,2D compartment,1
1394,2D compartment,1
1395,upland areas; non-wetland,0
1396,upland areas; non-wetland,0
1397,2D compartment,1
1398,2D compartment,1
1399,2D compartment,1
1400,2D compartment,1
1401,2D compartment,1
1402,2D compartment,1
1403,2D compartment,1
1404,2D compartment,1
1405,2D compartment,1
1406,2D compartment,1
1407,2D compartment,1
1408,2D compartment,1
1409,2D compartment,1
1410,2D compartment,1
1411,2D compartment,1
1412,2D compartment,1
1413,2D compartment,1
1414,2D compartment,1
1415,2D compartment,1
1416,2D compartment,1
1417,2D compartment,1
1418,2D compartment - GoM,0
1419,2D compartment - GoM,0
1420,2D compartment - GoM,0
1421,2D offshore boundary compartment,0
1422,2D offshore boundary compartment,0
1423,2D compartment - GoM,0
1424,2D offshore boundary compartment,0
1425,2D compartment - GoM,0
1426,2D compartment - GoM,0
1427,2D compartment - GoM,0
1428,2D compartment - GoM,0
1429,2D compartment - GoM,0
1430,2D compartment - GoM,0
1431,2D compartment - GoM,0
1432,2D compartment - GoM,0
1433,2D compartment - GoM,0
1434,2D compartment - GoM,0
1435,2D compartment - GoM,0
1436,2D compartment - GoM,0
1437,2D compartment - GoM,0
1438,2D compartment - GoM,0
1439,2D compartment,1
1440,2D compartment,1
1441,2D compartment,1
1442,upland areas; non-wetland,0
1443,upland areas; non-wetland,0
1444,upland areas; non-wetland,0
1445,upland areas; non-wetland,0
1446,upland areas; non-wetland,0
1447,upland areas; non-wetland,0
1448,upland areas; non-wetland,0
1449,upland areas; non-wetland,0
1450,upland areas; non-wetland,0
1451,upland areas; non-wetland,0
1452,upland areas; non-wetland,0
1453,upland areas; non-wetland,0
1454,upland areas; non-wetland,0
1455,upland areas; non-wetland,0
1456,upland areas; non-wetland,0
1457,upland areas; non-wetland,0
1458,upland areas; non-wetland,0
1459,upland areas; non-wetland,0
1460,upland areas; non-wetland,0
1461,upland areas; non-wetland,0
1462,upland areas; non-wetland,0
1463,upland areas; non-wetland,0
1464,upland areas; non-wetland,0
1465,upland areas; non-wetland,0
1466,upland areas; non-wetland,0
1467,upland areas; non-wetland,0
1468,upland areas; non-wetland,0
1469,upland areas; non-wetland,0
1470,upland areas; non-wetland,0
1471,upland areas; non-wetland,0
1472,upland areas; non-wetland,0
1473,upland areas; non-wetland,0
1474,upland areas; non-wetland,0
1475,1D lateral connection,0
1476,upland areas; non-wetland,0
1477,upland areas; non-wetland,0
1478,upland areas; non-wetland,0
1479,upland areas; non-wetland,0
1480,upland areas; non-wetland,0
1481,upland areas; non-wetland,0
1482,upland areas; non-wetland,0
1483,upland areas; non-wetland,0
1484,upland areas; non-wetland,0
1485,upland areas; non-wetland,0
1486,upland areas; non-wetland,0
1487,upland areas; non-wetland,0
1488,upland areas; non-wetland,0
1489,upland areas; non-wetland,0
1490,upland areas; non-wetland,0
1491,upland areas; non-wetland,0
1492,upland areas; non-wetland,0
1493,upland areas; non-wetland,0
1494,upland areas; non-wetland,0
1495,upland areas; non-wetland,0
1496,upland areas; non-wetland,0
1497,upland areas; non-wetland,0
1498,upland areas; non-wetland,0
1499,upland areas; non-wetland,0
1500,upland areas; non-wetland,0
1501,upland areas; non-wetland,0
1502,upland areas; non-wetland,0
1503,upland areas; non-wetland,0
1504,upland areas; non-wetland,0
1505,upland areas; non-wetland,0
1506,upland areas; non-wetland,0
1507,upland areas; non-wetland,0
1508,upland areas; non-wetland,0
1509,upland areas; non-wetland,0
1510,upland areas; non-wetland,0
1511,upland areas; non-wetland,0
1512,upland areas; non-wetland,0
1513,upland areas; non-wetland,0
1514,upland areas; non-wetland,0
1515,upland areas; non-wetland,0
1516,upland areas; non-wetland,0
1517,upland areas; non-wetland,0
1518,upland areas; non-wetland,0
1519,upland areas; non-wetland,0
1520,upland areas; non-wetland,0
1521,upland areas; non-wetland,0
1522,upland areas; non-wetland,0
1523,upland areas; non-wetland,0
1524,upland areas; non-wetland,0
1525,upland areas; non-wetland,0
1526,2D tributary boundary (Qmult > 0),0
1527,upland areas; non-wetland,0
1528,upland areas; non-wetland,0
1529,2D tributary boundary (Qmult > 0),0
1530,upland areas; non-wetland,0
