prj_no,S,year,code,ecoregion,value
G300_FWOA_v3,S01,40,BLH,CAS,1823400.0
G300_FWOA_v3,S01,40,BLH,EWCR,0.0
G300_FWOA_v3,S01,45,BLH,AVT,429300900.0
G300_FWOA_v3,S01,45,BLH,LTB,11455200.0
G300_FWOA_v3,S01,45,BLH,UBA,56437200.0
G300_FWOA_v3,S01,45,BLH,BFD,86400.0
G300_FWOA_v3,S01,45,BLH,UPO,142728300.0
G300_FWOA_v3,S01,45,BLH,LPO,0.0
G300_FWOA_v3,S01,45,BLH,MEL,6338700.0
G300_FWOA_v3,S01,45,BLH,LBA,13500.0
G300_FWOA_v3,S01,45,BLH,BRT,3600.0
G300_FWOA_v3,S01,45,BLH,CAS,1815300.0
G300_FWOA_v3,S01,45,BLH,EWCR,0.0
G300_FWOA_v3,S01,50,BLH,AVT,329079600.0
G300_FWOA_v3,S01,50,BLH,LTB,9834300.0
G300_FWOA_v3,S01,50,BLH,UBA,36972000.0
G300_FWOA_v3,S01,50,BLH,BFD,29700.0
G300_FWOA_v3,S01,50,BLH,UPO,131779800.0
G300_FWOA_v3,S01,50,BLH,LPO,0.0
G300_FWOA_v3,S01,50,BLH,MEL,5391000.0
G300_FWOA_v3,S01,50,BLH,LBA,7200.0
G300_FWOA_v3,S01,50,BLH,BRT,2700.0
G300_FWOA_v3,S01,50,BLH,CAS,318600.0
G300_FWOA_v3,S01,50,BLH,EWCR,0.0
G300_FWOA_v3,S01,5,SWA,AVT,769357800.0
G300_FWOA_v3,S01,5,SWA,LTB,81878400.0
G300_FWOA_v3,S01,5,SWA,UBA,761815800.0
G300_FWOA_v3,S01,5,SWA,BFD,8599500.0
G300_FWOA_v3,S01,5,SWA,UPO,1043605800.0
G300_FWOA_v3,S01,5,SWA,LPO,0.0
G300_FWOA_v3,S01,5,SWA,MEL,37953900.0
G300_FWOA_v3,S01,5,SWA,LBA,462600.0
G300_FWOA_v3,S01,5,SWA,BRT,2326500.0
G300_FWOA_v3,S01,5,SWA,CAS,3623400.0
G300_FWOA_v3,S01,5,SWA,EWCR,0.0
G300_FWOA_v3,S01,10,SWA,AVT,748289700.0
G300_FWOA_v3,S01,10,SWA,LTB,59225400.0
G300_FWOA_v3,S01,10,SWA,UBA,645685200.0
G300_FWOA_v3,S01,10,SWA,BFD,7337700.0
G300_FWOA_v3,S01,10,SWA,UPO,876022200.0
G300_FWOA_v3,S01,10,SWA,LPO,5400.0
G300_FWOA_v3,S01,10,SWA,MEL,31334400.0
G300_FWOA_v3,S01,10,SWA,LBA,41400.0
