ICM-Hydro_compartment,CRMS_site,LDEQ_site
699,na,LDEQ_3001
700,na,na
701,CRMS0315-H01,na
702,na,na
703,na,na
704,CRMS0347-H01,na
705,na,na
706,CRMS0302-H01,LDEQ_0957
707,na,na
708,na,na
709,na,na
710,TE45-H01,LDEQ_0960
711,CRMS0416-H01,LDEQ_0946
712,na,na
713,na,na
714,na,na
715,CRMS0338-H01,na
716,CRMS0319-H01,na
717,CRMS0400-H01,na
718,na,na
719,na,na
720,na,na
721,na,na
722,na,na
723,na,na
724,CRMS0331-H01,na
725,na,na
726,na,na
727,na,na
728,CRMS0309-H01,na
729,na,na
730,na,na
731,na,na
732,na,na
733,CRMS0383-H01,LDEQ_0950
734,na,na
735,na,LDEQ_1200
736,na,na
737,na,na
738,na,na
739,na,na
740,na,na
741,CRMS0484-H01,na
742,na,na
743,na,na
744,na,na
745,CRMS0296-H01,LDEQ_0896
746,CRMS0381-H01,na
747,CRMS0318-H01,na
748,na,LDEQ_0936
749,na,na
750,CRMS0336-H01,na
751,na,na
752,na,na
753,na,na
754,na,na
755,CRMS6038-H01,na
756,CRMS0482-H01,na
757,CRMS4016-H01,na
758,na,na
759,na,na
760,na,na
761,CRMS4938-H01,na
762,CRMS5003-H01,na
763,CRMS0549-H01,na
764,na,na
765,na,na
766,na,na
767,na,na
768,na,na
769,na,na
770,na,na
771,na,na
772,CRMS0544-H02,na
773,na,na
774,na,na
775,na,na
776,na,na
777,na,na
778,CRMS0531-H01,na
779,na,na
780,na,na
781,CRMS0399-H01,na
782,CRMS0303-H01,na
783,na,na
784,na,na
785,na,na
786,na,na
787,na,na
788,na,na
789,na,na
790,na,na
791,na,na
792,CRMS2568-H01,na
793,na,na
794,CRMS0329-H01,na
795,na,na
796,na,na
797,na,na
798,na,na
799,CRMS2881-H01,na
800,CRMS0365-H01,na
801,CRMS0301-H01,na
802,na,na
803,CRMS0290-H01,na
804,na,na
805,na,na
806,na,na
807,na,na
808,na,na
809,na,na
810,CRMS0305-H01,na
811,na,na
812,na,na
813,na,na
814,CRMS0326-H01,na
815,na,na
816,na,na
817,CRMS0322-H01,na
818,na,na
819,na,na
820,na,na
821,na,na
822,CRMS0461-H01,na
823,na,na
824,CRMS0464-H01,na
825,na,na
826,na,na
827,CRMS4014-H01,na
828,na,na
829,na,na
830,na,na
831,na,na
832,CRMS4808-H01,na
833,CRMS1650-H01,na
834,na,na
835,na,na
836,CRMS0311-H01,na
837,CRMS0374-H01,na
838,CRMS0345-H01,na
839,CRMS0310-H01,na
840,na,LDEQ_0953
841,na,na
842,CRMS0543-H01,na
843,na,na
844,na,na
845,na,na
846,CRMS0528-H01,na
847,na,na
848,CRMS0499-H01,na
849,na,na
850,CRMS0498-H01,na
851,na,na
852,CRMS0524-H01,na
853,na,na
854,na,na
855,CRMS0293-H01,na
856,na,na
857,na,na
858,na,LDEQ_0293
859,na,na
860,na,na
861,na,na
862,CRMS0514-H02,LDEQ_0683
863,na,na
864,na,na
865,na,na
866,na,na
867,na,na
868,na,na
869,na,na
870,na,na
871,CRMS0479-H01,na
872,na,na
873,CRMS6304-H01,na
874,na,na
875,na,na
876,na,na
877,na,na
878,na,LDEQ_1201
879,na,na
880,na,LDEQ_0695
881,na,na
882,na,LDEQ_0685
883,na,na
884,na,na
885,na,na
886,na,LDEQ_1203
887,na,na
888,na,na
889,na,LDEQ_0039
890,na,na
891,na,na
892,na,na
893,na,na
894,na,LDEQ_0340
895,na,na
896,na,LDEQ_1196
897,na,na
898,na,na
899,na,na
900,na,LDEQ_1199
901,na,LDEQ_0928
902,na,na
903,na,LDEQ_0337
904,na,na
905,na,LDEQ_0080
906,na,na
907,na,na
908,na,na
909,na,LDEQ_0923
910,na,na
911,na,na
912,na,LDEQ_0952
913,na,na
914,na,na
915,na,na
916,na,na
917,na,na
918,na,na
919,CRMS4455-H01,na
920,na,LDEQ_0940
921,na,na
922,na,LDEQ_0113
923,na,LDEQ_0949
924,na,na
925,na,na
926,na,LDEQ_0943
927,na,na
928,na,LDEQ_0339
929,na,na
930,na,na
931,na,na
932,na,na
933,na,na
934,na,na
935,na,na
936,na,na
937,na,na
938,na,na
939,na,na
940,na,na
941,na,na
942,na,na
943,na,na
944,na,na
945,na,LDEQ_0934
946,na,na
947,na,na
948,na,na
949,na,na
950,na,na
951,na,na
952,na,na
953,CRMS2041-H01,na
954,na,na
955,na,na
956,na,na
957,TV21CR01-H01,na
958,na,na
959,na,na
960,na,na
961,CRMS0520-H01,LDEQ_0696
962,CRMS0552-H02,LDEQ_0678
963,na,na
964,na,na
965,na,na
966,na,na
967,na,na
968,na,na
969,na,na
970,na,na
971,na,na
972,na,na
973,na,na
974,na,na
975,na,na
976,na,na
977,na,na
978,na,na
979,na,na
980,na,LDEQ_2844
981,na,LDEQ_0679
982,na,na
983,na,na
984,na,na
985,na,na
986,na,na
987,na,na
988,na,na
989,na,LDEQ_0933
990,na,na
991,na,na
992,na,LDEQ_0822
993,na,na
994,na,na
995,na,na
996,na,na
997,na,na
998,na,na
999,na,na
1000,na,na
1001,na,na
1002,na,na
1003,na,na
1004,na,na
1005,na,LDEQ_0851
1006,na,na
1007,na,na
1008,na,na
1009,na,na
1010,na,LDEQ_0657
1011,na,na
1012,na,na
1013,na,na
1014,na,LDEQ_0826
1015,na,na
1016,na,na
1017,na,na
1018,na,na
1019,na,na
1020,na,na
1021,na,na
1022,na,na
1023,na,na
1024,na,na
1025,na,na
1026,CRMS0644-H01,na
1027,CRMS1738-H01,na
1028,CRMS0645-H01,na
1029,na,na
1030,na,na
1031,na,na
1032,na,na
1033,na,na
1034,na,na
1035,na,na
1036,na,na
1037,na,na
1038,CRMS0650-H01,na
1039,CRMS1743-H01,na
1040,CRMS2418-H01,na
1041,na,na
1042,na,na
1043,na,na
1044,na,na
1045,na,na
1046,CRMS0656-H01,na
1047,na,LDEQ_0827
1048,na,na
1049,na,na
1050,na,na
1051,na,na
1052,na,na
1053,na,na
1054,na,na
1055,na,na
1056,na,na
1057,na,na
1058,na,na
1059,na,na
1060,na,na
1061,na,na
1062,na,na
1063,na,LDEQ_0029
1064,na,na
1065,na,na
1066,na,na
1067,na,na
1068,na,na
1069,na,na
1070,CRMS0600-H01,na
1071,CRMS0648-H01,na
1072,na,na
1073,na,na
1074,na,na
1075,na,na
1076,na,na
1077,na,na
1078,na,na
1079,na,na
1080,na,na
1081,na,na
1082,na,na
1083,na,na
1084,na,na
1085,CRMS0614-H01,na
1086,na,na
1087,CRMS0615-H01,na
1088,na,na
1089,na,na
1090,na,na
1091,na,na
1092,CRMS0581-H01,na
1093,na,na
1094,na,na
1095,CRMS0608-H01,na
1096,CRMS0599-H02,na
1097,CRMS0610-H01,na
1098,CRMS0609-H01,na
1099,na,na
1100,na,na
1101,na,na
1102,na,na
1103,na,na
1104,na,na
1105,na,na
1106,na,na
1107,na,na
1108,na,na
1109,CRMS0623-H01,na
1110,na,na
1111,CRMS1965-H02,na
1112,na,na
1113,na,na
1114,na,na
1115,CRMS0632-H01,na
1116,na,na
1117,na,na
1118,na,na
1119,na,na
1120,na,na
1121,CRMS0580-H01,na
1122,na,na
1123,CRMS0576-H01,na
1124,na,na
1125,CRMS0571-H01,na
1126,CRMS0619-H01,na
1127,CRMS0616-H01,na
1128,na,na
1129,na,na
1130,na,na
1131,na,na
1132,CRMS0572-H01,na
1133,na,na
1134,na,na
1135,na,na
1136,na,na
1137,na,LDEQ_0823
1138,na,na
1139,na,LDEQ_0026
1140,na,na
1141,na,na
1142,na,na
1143,CRMS1130-H01,na
1144,na,na
1145,na,na
1146,CRMS1100-H01,na
1147,na,na
1148,na,na
1149,na,na
1150,na,na
1151,CRMS0568-H01,na
1152,na,na
1153,na,na
1154,na,na
1155,na,na
1156,na,na
1157,na,na
1158,na,na
1159,na,na
1160,CRMS0565-H01,na
1161,na,na
1162,CRMS1277-H01,na
1163,CRMS0560-H01,na
1164,na,na
1165,na,na
1166,na,na
1167,na,na
1168,na,na
1169,CRMS0570-H01,na
1170,na,na
1171,na,na
1172,na,na
1173,na,na
1174,na,na
1175,na,na
1176,na,na
1177,na,na
1178,na,na
1179,CRMS0595-H01,na
1180,CRMS0554-H01,na
1181,CRMS0574-H01,na
1182,na,na
1183,na,na
1184,na,LDEQ_2115
1185,CRMS0626-H01,na
1186,na,na
1187,na,na
1188,na,na
1189,na,na
1190,na,na
1191,na,na
1192,na,na
1193,na,na
1194,na,na
1195,na,na
1196,CRMS0630-H02,na
1197,na,na
1198,na,na
1199,na,LDEQ_2114
1200,na,na
1201,na,na
1202,na,na
1203,na,na
1204,na,na
1205,CRMS0588-H01,na
1206,CRMS0603-H01,na
1207,na,na
1208,CRMS0562-H01,na
1209,CRMS0584-H01,na
